# lag   C(lag)   C_norm(lag)
       0   3.830623672019E+02   1.000000000000E+00
       1   3.593110961612E+02   9.379963340846E-01
       2   2.986887853846E+02   7.797393086833E-01
       3   2.248922630024E+02   5.870904642634E-01
       4   1.591541020996E+02   4.154783025598E-01
       5   1.121442429881E+02   2.927571398027E-01
       6   8.463833134453E+01   2.209518308018E-01
       7   7.193861515475E+01   1.877987015019E-01
       8   6.811815983880E+01   1.778252464119E-01
       9   6.847484834263E+01   1.787563963613E-01
      10   7.025346220232E+01   1.833995406949E-01
      11   7.235798500806E+01   1.888934836815E-01
      12   7.460379144662E+01   1.947562533787E-01
      13   7.697156775682E+01   2.009374304218E-01
      14   7.928850311538E+01   2.069858850781E-01
      15   8.128349731515E+01   2.121938991525E-01
      16   8.266157678924E+01   2.157914320664E-01
      17   8.315938994845E+01   2.170909937092E-01
      18   8.263713545992E+01   2.157276269751E-01
      19   8.115146992531E+01   2.118492362434E-01
      20   7.894122118056E+01   2.060792913624E-01
      21   7.625203750742E+01   1.990590672334E-01
      22   7.312166679529E+01   1.908871062679E-01
      23   6.939676836119E+01   1.811631063320E-01
      24   6.505812313178E+01   1.698368952476E-01
      25   6.058805116200E+01   1.581675892742E-01
      26   5.686508442520E+01   1.484486321133E-01
      27   5.455768872724E+01   1.424250811317E-01
      28   5.364885566778E+01   1.400525352038E-01
      29   5.353203135568E+01   1.397475605518E-01
      30   5.353606129010E+01   1.397580808607E-01
      31   5.340473192325E+01   1.394152401692E-01
      32   5.324035709718E+01   1.389861329529E-01
      33   5.308618262445E+01   1.385836541768E-01
      34   5.278163700355E+01   1.377886253591E-01
      35   5.219207965281E+01   1.362495617464E-01
      36   5.141242786800E+01   1.342142488273E-01
      37   5.073533448816E+01   1.324466688251E-01
      38   5.044595600212E+01   1.316912344342E-01
      39   5.061827978873E+01   1.321410927376E-01
      40   5.112500326568E+01   1.334639151299E-01
      41   5.180349351373E+01   1.352351417137E-01
      42   5.252396505908E+01   1.371159621937E-01
      43   5.309339648322E+01   1.386024862506E-01
      44   5.323341593385E+01   1.389680127617E-01
      45   5.270917344539E+01   1.375994562724E-01
      46   5.145150655465E+01   1.343162653395E-01
      47   4.959821517771E+01   1.294781722882E-01
      48   4.749202575823E+01   1.239798785381E-01
      49   4.566099917431E+01   1.191999086411E-01
      50   4.468465571742E+01   1.166511240554E-01
      51   4.487627313292E+01   1.171513491673E-01
      52   4.600780745595E+01   1.201052658658E-01
      53   4.737528624315E+01   1.236751252523E-01
      54   4.812101808081E+01   1.256218887601E-01
      55   4.754935823961E+01   1.241295473292E-01
      56   4.533080530676E+01   1.183379240250E-01
      57   4.169681899319E+01   1.088512539035E-01
      58   3.764976942946E+01   9.828626524833E-02
