# lag   C(lag)   C_norm(lag)
       0   3.833757104316E+02   1.000000000000E+00
       1   3.596234981489E+02   9.380445561979E-01
       2   2.989986293297E+02   7.799102060825E-01
       3   2.251989133129E+02   5.874104884197E-01
       4   1.594583408775E+02   4.159322996701E-01
       5   1.124477414825E+02   2.933095092434E-01
       6   8.494272818546E+01   2.215652318970E-01
       7   7.224464485023E+01   1.884434586868E-01
       8   6.842570545762E+01   1.784821093141E-01
       9   6.878320899688E+01   1.794146241541E-01
      10   7.056166415332E+01   1.840535595588E-01
      11   7.266525401378E+01   1.895405786975E-01
      12   7.490978545393E+01   1.953952308809E-01
      13   7.727653721802E+01   2.015686834490E-01
      14   7.959349718890E+01   2.076122587404E-01
      15   8.158973136850E+01   2.128192505379E-01
      16   8.296930556215E+01   2.164177419293E-01
      17   8.346760379401E+01   2.177175066726E-01
      18   8.294414788940E+01   2.163521204722E-01
      19   8.145594874840E+01   2.124702909756E-01
      20   7.924258692037E+01   2.066969418359E-01
      21   7.655022897509E+01   1.996741757294E-01
      22   7.341708645666E+01   1.915016639265E-01
      23   6.969071478389E+01   1.817817688696E-01
      24   6.535272313454E+01   1.704665198037E-01
      25   6.088542026706E+01   1.588139744130E-01
      26   5.716648837557E+01   1.491134853359E-01
      27   5.486326640499E+01   1.431057443447E-01
      28   5.395751609188E+01   1.407431786201E-01
      29   5.384204071844E+01   1.404419718136E-01
      30   5.384611682886E+01   1.404526039697E-01
      31   5.371480470040E+01   1.401100884559E-01
      32   5.355085766593E+01   1.396824478151E-01
      33   5.339697058801E+01   1.392810476384E-01
      34   5.309245375671E+01   1.384867437140E-01
      35   5.250267245901E+01   1.369483538743E-01
      36   5.172198394594E+01   1.349120002613E-01
      37   5.104286994531E+01   1.331405943476E-01
      38   5.075109319473E+01   1.323795217428E-01
      39   5.092080375292E+01   1.328221960009E-01
      40   5.142411158172E+01   1.341350278134E-01
      41   5.209794891448E+01   1.358926700281E-01
      42   5.281230584849E+01   1.377560038664E-01
      43   5.337456775250E+01   1.392226119188E-01
      44   5.350719133677E+01   1.395685482435E-01
      45   5.297631381543E+01   1.381838034439E-01
      46   5.171348175669E+01   1.348898230889E-01
      47   4.985659464992E+01   1.300463052127E-01
      48   4.774813330019E+01   1.245465792458E-01
      49   4.591585442478E+01   1.197672496598E-01
      50   4.493933879900E+01   1.172200991774E-01
      51   4.513143436444E+01   1.177211626517E-01
      52   4.626317279085E+01   1.206731974198E-01
      53   4.762984126746E+01   1.242380254446E-01
      54   4.837335351049E+01   1.261774082036E-01
      55   4.779823987555E+01   1.246772776025E-01
      56   4.557579494135E+01   1.188802360224E-01
      57   4.193795487427E+01   1.093912674516E-01
      58   3.788687007599E+01   9.882438830916E-02
      59   3.494811714678E+01   9.115892372898E-02
      60   3.428249170072E+01   8.942270145943E-02
      61   3.592543094553E+01   9.370815617161E-02
      62   3.886218215565E+01   1.013683994531E-01
      63   4.165535408395E+01   1.086541294884E-01
      64   4.303817284391E+01   1.122610840302E-01
      65   4.234215431147E+01   1.104455842124E-01
      66   3.973376308258E+01   1.036418375015E-01
      67   3.616864083129E+01   9.434254661196E-02
      68   3.299214056917E+01   8.605694015417E-02
      69   3.126767261228E+01   8.155882535459E-02
      70   3.113625027990E+01   8.121602238401E-02
      71   3.163057625007E+01   8.250542585094E-02
      72   3.120218429407E+01   8.138800514758E-02
      73   2.878057869139E+01   7.507147142678E-02
      74   2.465614036743E+01   6.431325641281E-02
      75   2.045696169365E+01   5.336008812510E-02
      76   1.813643694383E+01   4.730721443831E-02
      77   1.875129222410E+01   4.891100743703E-02
      78   2.194816524221E+01   5.724975434019E-02
      79   2.633162866013E+01   6.868361229897E-02
      80   3.025042306988E+01   7.890542422687E-02
      81   3.251508013957E+01   8.481257224921E-02
      82   3.274456461619E+01   8.541116123221E-02
      83   3.119842342409E+01   8.137819526690E-02
      84   2.833645419813E+01   7.391301385845E-02
      85   2.457589724844E+01   6.410394967581E-02
      86   2.033570323373E+01   5.304379667359E-02
      87   1.614716464298E+01   4.211838205608E-02
      88   1.263995619641E+01   3.297015395727E-02
      89   1.042393951330E+01   2.718987987416E-02
      90   9.983897788373E+00   2.604207182853E-02
      91   1.145636895060E+01   2.988287635046E-02
      92   1.430589036513E+01   3.731558879676E-02
      93   1.734036825181E+01   4.523074305434E-02
      94   1.922328981207E+01   5.014216938894E-02
      95   1.905353198898E+01   4.969937184473E-02
      96   1.672604492495E+01   4.362833760678E-02
      97   1.308326694599E+01   3.412648895064E-02
      98   9.611614885534E+00   2.507100638878E-02
      99   7.561687553474E+00   1.972396098063E-02
     100   7.211192078456E+00   1.880972602656E-02
     101   8.000810479519E+00   2.086937242454E-02
     102   9.237592794645E+00   2.409540443824E-02
     103   1.059630999864E+01   2.763949230563E-02
     104   1.215088418629E+01   3.169445495807E-02
     105   1.420929981635E+01   3.706364130463E-02
     106   1.722202562434E+01   4.492205728148E-02
     107   2.161735845013E+01   5.638687549035E-02
     108   2.735258106262E+01   7.134667199396E-02
