# lag   C(lag)   C_norm(lag)
       0   9.813942528653E-04   1.000000000000E+00
       1   9.599456997990E-04   9.781448148859E-01
       2   9.397558718802E-04   9.575722184397E-01
       3   9.203469761378E-04   9.377953594600E-01
       4   9.015998740887E-04   9.186928407787E-01
       5   8.829409521792E-04   8.996801739987E-01
       6   8.642884825161E-04   8.806740817899E-01
       7   8.469201282705E-04   8.629764498802E-01
       8   8.306094971707E-04   8.463565939434E-01
       9   8.159771809155E-04   8.314468711562E-01
      10   8.015296193097E-04   8.167254056864E-01
      11   7.870396070084E-04   8.019606847203E-01
      12   7.737423693351E-04   7.884113515807E-01
      13   7.613102529127E-04   7.757435410794E-01
      14   7.487802439526E-04   7.629759821462E-01
      15   7.377170648357E-04   7.517030619263E-01
      16   7.272988750237E-04   7.410873590305E-01
      17   7.176066222556E-04   7.312113558445E-01
      18   7.102181187252E-04   7.236827774889E-01
      19   7.026755236789E-04   7.159971862759E-01
      20   6.952103667402E-04   7.083905012796E-01
      21   6.882197201745E-04   7.012673226536E-01
      22   6.809896688619E-04   6.939002005297E-01
      23   6.746347625209E-04   6.874248147992E-01
      24   6.690713164794E-04   6.817558942554E-01
      25   6.645625379696E-04   6.771616361409E-01
      26   6.601789452608E-04   6.726949371604E-01
      27   6.556110102015E-04   6.680404009778E-01
      28   6.505764718100E-04   6.629104153713E-01
      29   6.453714829668E-04   6.576067478310E-01
      30   6.403768700350E-04   6.525174446104E-01
      31   6.353711509919E-04   6.474168247235E-01
      32   6.308557529375E-04   6.428158215677E-01
      33   6.271976008570E-04   6.390883164700E-01
      34   6.231974479342E-04   6.350123267124E-01
      35   6.183154788557E-04   6.300378029018E-01
      36   6.143353462976E-04   6.259822130646E-01
      37   6.093406887036E-04   6.208928643352E-01
      38   6.045363981385E-04   6.159974917048E-01
      39   5.991677766661E-04   6.105270893087E-01
      40   5.935643623540E-04   6.048174427565E-01
      41   5.884613120399E-04   5.996176463453E-01
      42   5.835954804796E-04   5.946595659958E-01
      43   5.790961594748E-04   5.900749446861E-01
      44   5.757092855543E-04   5.866238607710E-01
      45   5.723682765118E-04   5.832195112623E-01
      46   5.691988519328E-04   5.799899991985E-01
      47   5.668157979396E-04   5.775617661146E-01
      48   5.645819220908E-04   5.752855393665E-01
      49   5.617844178229E-04   5.724349986590E-01
      50   5.605522472295E-04   5.711794679792E-01
      51   5.585618667209E-04   5.691513528738E-01
      52   5.564951767107E-04   5.670454815544E-01
      53   5.535557831482E-04   5.640503615464E-01
      54   5.501931366133E-04   5.606239643313E-01
      55   5.471677708557E-04   5.575412422257E-01
