# lag   C(lag)   C_norm(lag)
       0   1.274021944276E-02   1.000000000000E+00
       1   1.221070816468E-02   9.584378212274E-01
       2   1.081713092135E-02   8.490537364718E-01
       3   8.996425575431E-03   7.061436905268E-01
       4   7.174859844101E-03   5.631661115680E-01
       5   5.614745656687E-03   4.407102783366E-01
       6   4.402190111108E-03   3.455348733110E-01
       7   3.507170089864E-03   2.752833344528E-01
       8   2.853737909557E-03   2.239944078184E-01
       9   2.367942452136E-03   1.858635530396E-01
      10   1.997867115476E-03   1.568157537986E-01
      11   1.714029872076E-03   1.345369190678E-01
      12   1.499740981279E-03   1.177170446723E-01
      13   1.341122597721E-03   1.052668365522E-01
      14   1.223343875086E-03   9.602219809342E-02
      15   1.131932878967E-03   8.884720424577E-02
      16   1.054150150347E-03   8.274191469648E-02
      17   9.794527186120E-04   7.687879498565E-02
      18   8.998790731026E-04   7.063293353350E-02
      19   8.107874358302E-04   6.363998983479E-02
      20   7.113205652801E-04   5.583267764547E-02
      21   6.026254922586E-04   4.730102923000E-02
      22   4.847945983940E-04   3.805229576870E-02
      23   3.566718358517E-04   2.799573723625E-02
      24   2.205317789271E-04   1.730988857123E-02
      25   8.755589121384E-05   6.872400558501E-03
      26  -2.433402118428E-05  -1.910015859115E-03
      27  -1.006040618334E-04  -7.896572134053E-03
      28  -1.383871633554E-04  -1.086222760740E-02
      29  -1.457717883886E-04  -1.144185852085E-02
      30  -1.335810525366E-04  -1.048498835807E-02
      31  -1.067594214131E-04  -8.379716055344E-03
      32  -6.423998148917E-05  -5.042297880174E-03
      33  -5.684874830711E-06  -4.462148282652E-04
      34   6.525922684486E-05   5.122300062261E-03
      35   1.437027018455E-04   1.127945264139E-02
      36   2.270797458626E-04   1.782384886562E-02
      37   3.158873176364E-04   2.479449581349E-02
      38   4.109517135581E-04   3.225625079729E-02
      39   5.098947452604E-04   4.002244604588E-02
      40   6.067614093591E-04   4.762566391303E-02
      41   6.951089821262E-04   5.456020481039E-02
      42   7.702834453874E-04   6.046076748115E-02
      43   8.282181312851E-04   6.500815272502E-02
      44   8.648712255261E-04   6.788511213735E-02
      45   8.776195550658E-04   6.888574871170E-02
      46   8.670456944475E-04   6.805578964657E-02
      47   8.381136533933E-04   6.578486792625E-02
      48   7.998061153564E-04   6.277804860033E-02
      49   7.634011003296E-04   5.992056131839E-02
      50   7.389935785477E-04   5.800477628097E-02
      51   7.301748843838E-04   5.731258301040E-02
      52   7.306800206524E-04   5.735223195607E-02
      53   7.267779861609E-04   5.704595508942E-02
      54   7.030683665524E-04   5.518494949881E-02
      55   6.480389856214E-04   5.086560624274E-02
      56   5.581597353967E-04   4.381084155610E-02
      57   4.410408032184E-04   3.461799109505E-02
      58   3.172554551313E-04   2.490188309211E-02
      59   2.144377080589E-04   1.683155529796E-02
      60   1.524996225758E-04   1.196993688067E-02
      61   1.318562920247E-04   1.034960917409E-02
      62   1.344410114802E-04   1.055248789742E-02
      63   1.337709563587E-04   1.049989420981E-02
      64   1.060060625901E-04   8.320583728276E-03
      65   3.866573280480E-05   3.034934600500E-03
      66  -6.477724121053E-05  -5.084468246530E-03
      67  -1.867262541063E-04  -1.465643939222E-02
      68  -3.038625709122E-04  -2.385065440022E-02
      69  -3.978702601727E-04  -3.122946680474E-02
      70  -4.652161418169E-04  -3.651555170671E-02
      71  -5.197595368520E-04  -4.079674916019E-02
      72  -5.836580048999E-04  -4.581224110952E-02
      73  -6.702064119025E-04  -5.260556263679E-02
      74  -7.702837956211E-04  -6.046079497154E-02
      75  -8.542297468620E-04  -6.704984562472E-02
      76  -8.895324652038E-04  -6.982081189421E-02
      77  -8.611350307543E-04  -6.759185229291E-02
      78  -7.794539005192E-04  -6.118057102716E-02
      79  -6.727870448402E-04  -5.280812060287E-02
      80  -5.735007495132E-04  -4.501498204878E-02
      81  -5.055171041354E-04  -3.967883806136E-02
      82  -4.776733638558E-04  -3.749333879232E-02
      83  -4.860345371292E-04  -3.814962052365E-02
      84  -5.212735550446E-04  -4.091558684579E-02
      85  -5.732311165154E-04  -4.499381812778E-02
      86  -6.316187238367E-04  -4.957675389145E-02
