# lag   C(lag)   C_norm(lag)
       0   6.809997639145E-04   1.000000000000E+00
       1   6.387752820643E-04   9.379963340846E-01
       2   5.310022851282E-04   7.797393086833E-01
       3   3.998084675599E-04   5.870904642634E-01
       4   2.829406259548E-04   4.154783025598E-01
       5   1.993675430899E-04   2.927571398027E-01
       6   1.504681446125E-04   2.209518308018E-01
       7   1.278908713862E-04   1.877987015019E-01
       8   1.210989508245E-04   1.778252464119E-01
       9   1.217330637202E-04   1.787563963613E-01
      10   1.248950439152E-04   1.833995406949E-01
      11   1.286364177921E-04   1.888934836815E-01
      12   1.326289625718E-04   1.947562533787E-01
      13   1.368383426788E-04   2.009374304218E-01
      14   1.409573388718E-04   2.069858850781E-01
      15   1.445039952269E-04   2.121938991525E-01
      16   1.469539142920E-04   2.157914320664E-01
      17   1.478389154639E-04   2.170909937092E-01
      18   1.469104630399E-04   2.157276269751E-01
      19   1.442692798672E-04   2.118492362434E-01
      20   1.403399487654E-04   2.060792913624E-01
      21   1.355591777910E-04   1.990590672334E-01
      22   1.299940743027E-04   1.908871062679E-01
      23   1.233720326421E-04   1.811631063320E-01
      24   1.156588855676E-04   1.698368952476E-01
      25   1.077120909547E-04   1.581675892742E-01
      26   1.010934834226E-04   1.484486321133E-01
      27   9.699144662620E-05   1.424250811317E-01
      28   9.537574340938E-05   1.400525352038E-01
      29   9.516805574343E-05   1.397475605518E-01
      30   9.517522007129E-05   1.397580808607E-01
      31   9.494174564134E-05   1.394152401692E-01
      32   9.464952372833E-05   1.389861329529E-01
      33   9.437543577681E-05   1.385836541768E-01
      34   9.383402133964E-05   1.377886253591E-01
      35   9.278591938278E-05   1.362495617464E-01
      36   9.139987176534E-05   1.342142488273E-01
      37   9.019615020118E-05   1.324466688251E-01
      38   8.968169955932E-05   1.316912344342E-01
      39   8.998805295774E-05   1.321410927376E-01
      40   9.088889469454E-05   1.334639151299E-01
      41   9.209509957997E-05   1.352351417137E-01
      42   9.337593788281E-05   1.371159621937E-01
      43   9.438826041462E-05   1.386024862506E-01
      44   9.463718388240E-05   1.389680127617E-01
      45   9.370519723624E-05   1.375994562724E-01
      46   9.146934498605E-05   1.343162653395E-01
      47   8.817460476037E-05   1.294781722882E-01
      48   8.443026801463E-05   1.239798785381E-01
      49   8.117510964322E-05   1.191999086411E-01
      50   7.943938794209E-05   1.166511240554E-01
      51   7.978004112520E-05   1.171513491673E-01
      52   8.179165769947E-05   1.201052658658E-01
      53   8.422273109894E-05   1.236751252523E-01
      54   8.554847658810E-05   1.256218887601E-01
      55   8.453219242597E-05   1.241295473292E-01
      56   8.058809832312E-05   1.183379240250E-01
      57   7.412767821011E-05   1.088512539035E-01
      58   6.693292343015E-05   9.828626524833E-02
      59   6.171499867976E-05   9.062411171042E-02
      60   6.053588748224E-05   8.889267029150E-02
      61   6.345897585184E-05   9.318501887148E-02
      62   6.868238051661E-05   1.008552192762E-01
      63   7.365250317585E-05   1.081534929652E-01
      64   7.611764835643E-05   1.117733843532E-01
      65   7.488791988924E-05   1.099676150529E-01
      66   7.025707628344E-05   1.031675486634E-01
      67   6.392348340399E-05   9.386711536661E-02
      68   5.827984141542E-05   8.557982616679E-02
      69   5.521770727175E-05   8.108329869947E-02
      70   5.498854069198E-05   8.074678378139E-02
      71   5.587281412301E-05   8.204527678812E-02
      72   5.511745217023E-05   8.093608117190E-02
      73   5.081882552988E-05   7.462385190527E-02
      74   4.349273497042E-05   6.386600594458E-02
      75   3.603287834492E-05   5.291173397447E-02
      76   3.191054628653E-05   4.685838083571E-02
      77   3.300414674022E-05   4.846425577375E-02
      78   3.868699210926E-05   5.680911236574E-02
      79   4.647963969361E-05   6.825206432736E-02
      80   5.344741351108E-05   7.848374748893E-02
      81   5.747635313086E-05   8.439996043534E-02
      82   5.788812786403E-05   8.500462251452E-02
      83   5.514310265418E-05   8.097374709385E-02
      84   5.005890495212E-05   7.350796227061E-02
      85   4.337722544767E-05   6.369638837806E-02
      86   3.584132854542E-05   5.263045663834E-02
      87   2.839415875709E-05   4.169481439153E-02
      88   2.215540460370E-05   3.253364505788E-02
      89   1.821044185063E-05   2.674074620225E-02
      90   1.742185948784E-05   2.558276876293E-02
      91   2.003369040044E-05   2.941805777624E-02
      92   2.509622841546E-05   3.685203688061E-02
      93   3.049140678191E-05   4.477447482014E-02
      94   3.384239583599E-05   4.969516529853E-02
      95   3.354539766080E-05   4.925904447893E-02
      96   2.941261215468E-05   4.319034119132E-02
      97   2.294211786149E-05   3.368887784867E-02
      98   1.677668941691E-05   2.463538213358E-02
      99   1.313892398423E-05   1.929358082109E-02
     100   1.252150914362E-05   1.838695078489E-02
     101   1.392899135313E-05   2.045373888687E-02
     102   1.612928905346E-05   2.368472047735E-02
     103   1.854512683609E-05   2.723220743791E-02
     104   2.130980487458E-05   3.129194164780E-02
     105   2.497229977931E-05   3.667005644138E-02
     106   3.033223736606E-05   4.454074578780E-02
     107   3.814887967682E-05   5.601893230848E-02
     108   4.834492496300E-05   7.099110385165E-02
     109   5.936538852353E-05   8.717387533629E-02
     110   6.872851576788E-05   1.009229656304E-01
     111   7.444692751271E-05   1.093200489304E-01
     112   7.595320422674E-05   1.115319097765E-01
     113   7.409683553231E-05   1.088059636121E-01
     114   7.054277543580E-05   1.035870776670E-01
