# lag   <C(lag)>_blocks   <C_norm(lag)>_blocks
       0   3.682579918561E+02   1.000000000000E+00
       1   3.444161506029E+02   9.351385522200E-01
       2   2.836016593257E+02   7.697193631210E-01
       3   2.095746218475E+02   5.683979368168E-01
       4   1.436801373269E+02   3.892806424209E-01
       5   9.661399162365E+01   2.615081304132E-01
       6   6.909489301313E+01   1.870467202746E-01
       7   5.634439159838E+01   1.528509789558E-01
       8   5.237677413036E+01   1.425499960544E-01
       9   5.249815792190E+01   1.432878221344E-01
      10   5.400347876584E+01   1.476569311255E-01
      11   5.586499640754E+01   1.528583824821E-01
      12   5.794712432869E+01   1.585362725890E-01
      13   6.021585135779E+01   1.646030128631E-01
      14   6.242730126379E+01   1.704154263818E-01
      15   6.428060675082E+01   1.752185471267E-01
      16   6.553400714295E+01   1.784263358831E-01
      17   6.598632978907E+01   1.795092760887E-01
      18   6.549867223637E+01   1.780242631948E-01
      19   6.406424143582E+01   1.738524435076E-01
      20   6.184763466772E+01   1.673882554249E-01
      21   5.904129000835E+01   1.591841608088E-01
      22   5.568439693127E+01   1.494403189921E-01
      23   5.171741767015E+01   1.381099701014E-01
      24   4.723620832379E+01   1.255492804873E-01
      25   4.270298734207E+01   1.130605747013E-01
      26   3.887477981164E+01   1.026977588138E-01
      27   3.635221284908E+01   9.607135164842E-02
      28   3.516529223947E+01   9.323325039889E-02
      29   3.481627104548E+01   9.276221454368E-02
      30   3.471877801354E+01   9.294568603893E-02
      31   3.463541922534E+01   9.301441106263E-02
      32   3.460916524780E+01   9.301642801295E-02
      33   3.458190657928E+01   9.280938680588E-02
      34   3.432001692867E+01   9.184863236253E-02
      35   3.365225912615E+01   8.980219663211E-02
      36   3.269773069763E+01   8.713403316680E-02
      37   3.185055044540E+01   8.502171009716E-02
      38   3.149005659298E+01   8.451398090764E-02
      39   3.170108982261E+01   8.572246318465E-02
      40   3.225481868946E+01   8.779928653702E-02
      41   3.281576807162E+01   8.961819447017E-02
      42   3.308533143574E+01   9.026925907450E-02
      43   3.281103137636E+01   8.911488605336E-02
      44   3.180150714451E+01   8.578714799991E-02
      45   3.000941310069E+01   8.031923657495E-02
      46   2.760623113851E+01   7.327516620039E-02
      47   2.494511017342E+01   6.564751477173E-02
      48   2.242252616338E+01   5.853108109137E-02
      49   2.042370049184E+01   5.300236920672E-02
      50   1.933227999626E+01   5.011977906425E-02
      51   1.935820003514E+01   5.042342759003E-02
      52   2.028188791368E+01   5.324275628899E-02
      53   2.151769955772E+01   5.689005161165E-02
      54   2.240354805767E+01   5.947910970727E-02
      55   2.234111847653E+01   5.936091177212E-02
      56   2.090932388420E+01   5.545985720963E-02
      57   1.814833515257E+01   4.799878936434E-02
      58   1.484001989872E+01   3.916753709361E-02
      59   1.232472147834E+01   3.256760043887E-02
      60   1.170949391139E+01   3.111205170360E-02
      61   1.311647334319E+01   3.511058381282E-02
      62   1.564859580490E+01   4.222296805382E-02
      63   1.791219323303E+01   4.876282505497E-02
      64   1.863048797208E+01   5.123099450520E-02
      65   1.714612342622E+01   4.770147386306E-02
      66   1.374520911712E+01   3.882185232537E-02
      67   9.642805127118E+00   2.784788521991E-02
      68   6.437971136736E+00   1.915300120481E-02
      69   5.195853035356E+00   1.566981843259E-02
      70   5.767260370323E+00   1.699519800062E-02
      71   6.833825887704E+00   1.953956887377E-02
      72   6.721366083397E+00   1.879256224783E-02
      73   4.504680946074E+00   1.233110698377E-02
      74   6.684943747196E-01   1.587830844419E-03
      75  -3.123256385072E+00  -8.804945884457E-03
      76  -4.981784512091E+00  -1.364815897889E-02
      77  -3.906978944208E+00  -1.024239608427E-02
      78  -2.560006153025E-01   3.289481926405E-04
      79   4.525972018900E+00   1.397895115592E-02
      80   8.573848408959E+00   2.551503141081E-02
      81   1.047881542180E+01   3.106941558854E-02
      82   9.867494963136E+00   2.963501374887E-02
      83   7.275857191964E+00   2.266656707074E-02
      84   3.575762228472E+00   1.253747550421E-02
      85  -4.881783201704E-01   1.317991810954E-03
      86  -4.424059930624E+00  -9.577866954437E-03
      87  -7.916750644884E+00  -1.920488914173E-02
      88  -1.065498838702E+01  -2.662267563509E-02
      89  -1.221226077398E+01  -3.060176382548E-02
      90  -1.213003531292E+01  -2.992426203138E-02
      91  -1.022285509337E+01  -2.424655050238E-02
      92  -6.942798326540E+00  -1.501625048894E-02
      93  -3.406096506375E+00  -5.421477019740E-03
      94  -9.319304611253E-01   9.477427282859E-04
      95  -4.862302957775E-01   1.612415184430E-03
      96  -2.271409153499E+00  -3.764482378049E-03
      97  -5.520546702818E+00  -1.292598987337E-02
      98  -8.814887693612E+00  -2.194862620687E-02
      99  -1.094924929703E+01  -2.760236388591E-02
     100  -1.162694634351E+01  -2.919565135450E-02
     101  -1.133191408596E+01  -2.815231255448E-02
     102  -1.061438469262E+01  -2.602447903091E-02
     103  -9.596020328618E+00  -2.315606698914E-02
     104  -8.056107853698E+00  -1.893583735540E-02
     105  -5.698002750145E+00  -1.253418960292E-02
     106  -2.250285144824E+00  -3.194061838894E-03
     107   2.437461282164E+00   9.498921149661E-03
     108   8.110263545486E+00   2.485105293760E-02
     109   1.389095449104E+01   4.046708665557E-02
     110   1.859150975391E+01   5.309568535402E-02
     111   2.136293569713E+01   6.041362377278E-02
     112   2.202287594138E+01   6.192969301850E-02
     113   2.098182458547E+01   5.880524833738E-02
     114   1.897709868964E+01   5.314030821950E-02
     115   1.663555311417E+01   4.673748348868E-02
     116   1.420940153961E+01   4.031079485728E-02
     117   1.176837458604E+01   3.398391291593E-02
     118   9.364691054218E+00   2.776809578449E-02
     119   6.912518075738E+00   2.129247299251E-02
     120   4.226122779898E+00   1.397961427483E-02
     121   1.334644173169E+00   5.952587232049E-03
     122  -1.403400473424E+00  -1.673730773505E-03
     123  -3.485100997080E+00  -7.396151637619E-03
     124  -4.475436757759E+00  -1.000261047754E-02
     125  -4.206042097747E+00  -9.110128298681E-03
     126  -2.904906772831E+00  -5.426997703464E-03
     127  -1.062110157897E+00  -3.091673465176E-04
     128   8.431331008459E-01   4.975093255735E-03
     129   2.427800952169E+00   9.418307118736E-03
     130   3.316493814469E+00   1.200454347398E-02
     131   3.143223481492E+00   1.172948205847E-02
     132   1.599266488546E+00   7.757408805165E-03
     133  -1.454520287959E+00  -2.721323772562E-04
     134  -5.687586792291E+00  -1.146273836288E-02
     135  -1.008002194790E+01  -2.309306900255E-02
     136  -1.323250438277E+01  -3.143812395576E-02
     137  -1.416882375320E+01  -3.389288598351E-02
     138  -1.286538817433E+01  -3.037630107499E-02
     139  -1.006723399189E+01  -2.286574796357E-02
     140  -6.626853191345E+00  -1.365847131757E-02
     141  -3.067122118595E+00  -4.196395037442E-03
     142   2.868363077899E-01   4.610814162844E-03
     143   2.994833480322E+00   1.158520522607E-02
     144   4.496352168620E+00   1.527989866559E-02
     145   4.489754004496E+00   1.497819701675E-02
     146   3.293095857216E+00   1.162050498692E-02
     147   1.850602602677E+00   7.765653628925E-03
     148   1.236747794774E+00   6.228034373588E-03
     149   1.817478804834E+00   7.853906238754E-03
     150   2.801647258611E+00   1.038953847056E-02
     151   2.822302175745E+00   1.010536223537E-02
     152   1.105875186534E+00   4.968148888307E-03
     153  -1.883707385772E+00  -3.633123311465E-03
     154  -4.862074810240E+00  -1.205061228036E-02
     155  -6.748485976393E+00  -1.722408648893E-02
     156  -7.339709953940E+00  -1.858437473816E-02
     157  -7.108717236068E+00  -1.750959673306E-02
     158  -6.633359690187E+00  -1.571880642584E-02
     159  -6.388597207260E+00  -1.464578934382E-02
     160  -6.761340342102E+00  -1.542938821070E-02
     161  -7.789175488832E+00  -1.817757420710E-02
     162  -9.053717418996E+00  -2.169978025560E-02
     163  -1.019292852108E+01  -2.496356889990E-02
     164  -1.134928726244E+01  -2.835198538197E-02
     165  -1.286964022509E+01  -3.281274863261E-02
     166  -1.468987713631E+01  -3.813212446225E-02
     167  -1.606347121258E+01  -4.218012484168E-02
     168  -1.600816570394E+01  -4.216061859469E-02
     169  -1.413891325138E+01  -3.694647278938E-02
     170  -1.101685477854E+01  -2.808430666286E-02
     171  -7.632929901563E+00  -1.838732410907E-02
     172  -4.782586542586E+00  -1.016957933808E-02
     173  -2.757151541605E+00  -4.318247277251E-03
     174  -1.172441892508E+00   2.107065241167E-04
     175   8.556108927848E-01   5.857546140217E-03
