# lag   <C(lag)>_blocks   <C_norm(lag)>_blocks
       0   3.685402940421E+02   1.000000000000E+00
       1   3.446961283634E+02   9.351832822991E-01
       2   2.838777772194E+02   7.698833547634E-01
       3   2.098464284484E+02   5.687071692282E-01
       4   1.439484842388E+02   3.897183166753E-01
       5   9.688053156263E+01   2.620368426364E-01
       6   6.936119263764E+01   1.876283439876E-01
       7   5.661093838374E+01   1.534562747248E-01
       8   5.264325588723E+01   1.431615418033E-01
       9   5.276382817216E+01   1.438973185342E-01
      10   5.426771143274E+01   1.482616359000E-01
      11   5.612763570136E+01   1.534579875462E-01
      12   5.820846082825E+01   1.591309799720E-01
      13   6.047618716983E+01   1.651924713066E-01
      14   6.268727824461E+01   1.710003535300E-01
      15   6.454090029918E+01   1.757999657593E-01
      16   6.579465352512E+01   1.790039066957E-01
      17   6.624615708382E+01   1.800803950046E-01
      18   6.575574913982E+01   1.785858481714E-01
      19   6.431697719137E+01   1.744034586384E-01
      20   6.209556746654E+01   1.679304525151E-01
      21   5.928440662245E+01   1.597195635076E-01
      22   5.592321729753E+01   1.499719483199E-01
      23   5.195350320315E+01   1.386437443688E-01
      24   4.747224518642E+01   1.260938757239E-01
      25   4.294166352425E+01   1.136234722336E-01
      26   3.911777356555E+01   1.032818988269E-01
      27   3.659964300854E+01   9.667400776133E-02
      28   3.541576574990E+01   9.384732907923E-02
      29   3.506746940943E+01   9.337892999818E-02
      30   3.496873891534E+01   9.355851650927E-02
      31   3.488354413574E+01   9.362131699354E-02
      32   3.485560057613E+01   9.361778955053E-02
      33   3.482660628906E+01   9.340584969384E-02
      34   3.456278559307E+01   9.244153024618E-02
      35   3.389328535368E+01   9.039429586240E-02
      36   3.293645212791E+01   8.772480789465E-02
      37   3.208628085513E+01   8.560761573953E-02
      38   3.172228443497E+01   8.508950600052E-02
      39   3.192936754945E+01   8.628188965814E-02
      40   3.247815229171E+01   8.833728038177E-02
      41   3.303298504965E+01   9.013178524005E-02
      42   3.329511444178E+01   9.075762969256E-02
      43   3.301234205176E+01   8.957964373247E-02
      44   3.199404582155E+01   8.623241103667E-02
      45   3.019391975386E+01   8.075122067504E-02
      46   2.778376560790E+01   7.369915647607E-02
      47   2.511681054446E+01   6.606677414768E-02
      48   2.258946085146E+01   5.894678292283E-02
      49   2.058706122754E+01   5.341484886038E-02
      50   1.949362652682E+01   5.052974622981E-02
      51   1.951886991356E+01   5.083087609989E-02
      52   2.044201553783E+01   5.364517150524E-02
      53   2.167644751316E+01   5.728387428902E-02
      54   2.255950920980E+01   5.986119105985E-02
      55   2.249285046235E+01   5.972970865506E-02
      56   2.105632144134E+01   5.581750735872E-02
      57   1.829107809183E+01   4.835023472932E-02
      58   1.497907681306E+01   3.951666984302E-02
      59   1.246126215545E+01   3.291741821895E-02
      60   1.184550444170E+01   3.146501910846E-02
      61   1.325324228132E+01   3.546554671289E-02
      62   1.578559267893E+01   4.257398409061E-02
      63   1.804719125984E+01   4.910170820186E-02
      64   1.876104159101E+01   5.155284181746E-02
      65   1.727110173533E+01   4.800841354736E-02
      66   1.386511559958E+01   3.912127259164E-02
      67   9.759297391893E+00   2.814771249701E-02
      68   6.552468072536E+00   1.945592541413E-02
      69   5.308850726150E+00   1.597243227343E-02
      70   5.878332900171E+00   1.729152509961E-02
      71   6.941960271508E+00   1.982528089305E-02
      72   6.825846361296E+00   1.906834058219E-02
      73   4.605772363661E+00   1.260272427868E-02
      74   7.670753066418E-01   1.861789282534E-03
      75  -3.026183860404E+00  -8.525811591803E-03
      76  -4.884972943122E+00  -1.336506362579E-02
      77  -3.809265696761E+00  -9.959196263298E-03
      78  -1.572117260829E-01   6.067112256730E-04
      79   4.625458073976E+00   1.424762992940E-02
      80   8.673239302004E+00   2.577359583472E-02
      81   1.057711141024E+01   3.131837901396E-02
      82   9.964380876220E+00   2.987671926032E-02
      83   7.371708130051E+00   2.290424594724E-02
      84   3.670632870867E+00   1.277295289189E-02
      85  -3.945348948646E-01   1.552358752127E-03
      86  -4.330946469200E+00  -9.340889187216E-03
      87  -7.822749123104E+00  -1.896009687732E-02
      88  -1.055885504627E+01  -2.636650623186E-02
      89  -1.211298252545E+01  -3.033290432158E-02
      90  -1.202671623945E+01  -2.964315708755E-02
      91  -1.011528563728E+01  -2.395605097085E-02
      92  -6.832428270070E+00  -1.472293532308E-02
      93  -3.295435949926E+00  -5.132573067429E-03
      94  -8.229240016653E-01   1.229246573753E-03
      95  -3.794533609990E-01   1.889134318552E-03
      96  -2.166928877756E+00  -3.488634065021E-03
      97  -5.418631839568E+00  -1.265003660799E-02
      98  -8.715816634349E+00  -2.167513952268E-02
      99  -1.085302033088E+01  -2.733550195267E-02
     100  -1.153332553991E+01  -2.893835940847E-02
     101  -1.124044984069E+01  -2.790409149912E-02
     102  -1.052469911841E+01  -2.578235424495E-02
     103  -9.507697514314E+00  -2.291638515196E-02
     104  -7.969381532884E+00  -1.869820847406E-02
     105  -5.613572507416E+00  -1.230168154304E-02
     106  -2.168056383054E+00  -2.969234065530E-03
     107   2.518804540264E+00   9.716241754137E-03
     108   8.192748702146E+00   2.506346337241E-02
     109   1.397631845879E+01   4.067798015093E-02
     110   1.867992034691E+01   5.330632097866E-02
     111   2.145327206352E+01   6.062346500298E-02
     112   2.211307661665E+01   6.213644433558E-02
     113   2.106967010307E+01   5.900606564405E-02
     114   1.906028588515E+01   5.333104773041E-02
     115   1.671248677371E+01   4.691464762253E-02
     116   1.427970182234E+01   4.047359455212E-02
     117   1.183241776133E+01   3.413344094279E-02
     118   9.422348335456E+00   2.790400174208E-02
     119   6.963236121411E+00   2.141342699944E-02
     120   4.269397458477E+00   1.408455650817E-02
     121   1.371088299553E+00   6.043044173226E-03
     122  -1.371931634495E+00  -1.593790452687E-03
     123  -3.456800630510E+00  -7.323387764794E-03
     124  -4.449046833582E+00  -9.934735769647E-03
     125  -4.181006600227E+00  -9.045940804255E-03
     126  -2.881031020833E+00  -5.365718681672E-03
     127  -1.039207171363E+00  -2.503045263924E-04
     128   8.657081214177E-01   5.032358736633E-03
     129   2.451179725265E+00   9.475759631490E-03
     130   3.341694805476E+00   1.206458550864E-02
     131   3.170268763174E+00   1.179346982864E-02
     132   1.626981101870E+00   7.824827049770E-03
     133  -1.427617280726E+00  -2.022655253061E-04
     134  -5.662733221700E+00  -1.139184830743E-02
     135  -1.005737736254E+01  -2.302181870765E-02
     136  -1.321122027235E+01  -3.136656616144E-02
     137  -1.414781151403E+01  -3.382120277246E-02
     138  -1.284409894593E+01  -3.030549877808E-02
     139  -1.004555169344E+01  -2.279683828487E-02
     140  -6.604472286531E+00  -1.359108696709E-02
     141  -3.043575056179E+00  -4.129516170131E-03
     142   3.120483962081E-01   4.678541542541E-03
     143   3.022165045030E+00   1.165590107464E-02
     144   4.525526781810E+00   1.535497453080E-02
     145   4.520020510501E+00   1.505858007076E-02
     146   3.323817546246E+00   1.170679842738E-02
     147   1.881257352817E+00   7.856435076581E-03
     148   1.266464097660E+00   6.317975011767E-03
     149   1.845650321375E+00   7.936872165820E-03
     150   2.829248090599E+00   1.046511600858E-02
     151   2.851648573104E+00   1.018022395563E-02
     152   1.138794480687E+00   5.050399264690E-03
     153  -1.846890296054E+00  -3.539286578446E-03
     154  -4.822616316214E+00  -1.194742591752E-02
     155  -6.708272539713E+00  -1.711786494682E-02
     156  -7.300185921687E+00  -1.848091913752E-02
     157  -7.070480327866E+00  -1.741143508704E-02
     158  -6.596042750943E+00  -1.562413715594E-02
     159  -6.351588383871E+00  -1.455031973815E-02
     160  -6.723994205931E+00  -1.532746302945E-02
     161  -7.751251818051E+00  -1.806515797209E-02
     162  -9.015699060622E+00  -2.157723268740E-02
     163  -1.015588871195E+01  -2.483515528082E-02
     164  -1.131431408621E+01  -2.822232091874E-02
     165  -1.283673234034E+01  -3.268250417189E-02
     166  -1.465763810328E+01  -3.799775672801E-02
     167  -1.603017351453E+01  -4.203842710080E-02
     168  -1.597244892907E+01  -4.201156917139E-02
     169  -1.409970115549E+01  -3.679224393177E-02
     170  -1.097347164521E+01  -2.792763478703E-02
     171  -7.585145363743E+00  -1.822999770173E-02
     172  -4.731145911773E+00  -1.001318128559E-02
     173  -2.703704599769E+00  -4.164177298910E-03
     174  -1.119108573865E+00   3.605922016802E-04
     175   9.070515616888E-01   6.000570712983E-03
     176   4.089878059865E+00   1.468434701253E-02
     177   8.252834591166E+00   2.586051248325E-02
     178   1.222788006737E+01   3.630534107121E-02
     179   1.436284210039E+01   4.156505254328E-02
     180   1.336409933887E+01   3.823684730808E-02
     181   9.186183466261E+00   2.632330178972E-02
     182   3.343051901406E+00   1.001755348084E-02
     183  -1.724021047239E+00  -4.037631201386E-03
     184  -4.031722469547E+00  -1.049239580287E-02
     185  -3.275344027054E+00  -8.593841694339E-03
     186  -8.347921033656E-01  -2.184758508749E-03
     187   1.417685894430E+00   3.603998854120E-03
     188   2.338081295967E+00   5.737745693264E-03
     189   1.779738926127E+00   3.973493088061E-03
     190   1.628539242804E-01  -4.307978018917E-04
     191  -2.025019687073E+00  -6.141230849603E-03
     192  -4.355571647431E+00  -1.206416770737E-02
     193  -6.407867115303E+00  -1.714834073769E-02
     194  -7.910078801769E+00  -2.072956445661E-02
     195  -8.789622288774E+00  -2.265882185574E-02
     196  -8.955534485317E+00  -2.273693598313E-02
     197  -8.181398859107E+00  -2.040661968255E-02
     198  -6.369237845634E+00  -1.542668143266E-02
     199  -3.892587788998E+00  -8.768217362273E-03
     200  -1.525963254435E+00  -2.462132520325E-03
     201  -9.686519216566E-02   1.280282287579E-03
     202  -2.290207134900E-01   7.541543804796E-04
     203  -2.053650780000E+00  -4.425628496861E-03
     204  -4.886371122254E+00  -1.243498405632E-02
     205  -7.370913138530E+00  -1.961638855772E-02
     206  -8.302680102046E+00  -2.267209077954E-02
     207  -7.472855377813E+00  -2.093461791931E-02
     208  -5.640657165331E+00  -1.632889161536E-02
     209  -3.832535986305E+00  -1.156056188690E-02
     210  -2.496668650564E+00  -7.863573882774E-03
     211  -1.289908066986E+00  -4.386991145207E-03
     212   4.114775971707E-01   4.668886646425E-04
     213   2.861424291216E+00   7.301027838696E-03
     214   5.700833028953E+00   1.506995910154E-02
     215   8.313601386427E+00   2.207346311178E-02
     216   1.031019249994E+01   2.730244461444E-02
     217   1.155736851303E+01   3.051833568490E-02
     218   1.201864311299E+01   3.177428174040E-02
     219   1.163141008229E+01   3.097514993476E-02
     220   1.036908342423E+01   2.797600911936E-02
     221   8.389412037055E+00   2.303078696794E-02
     222   6.096739226954E+00   1.709145068278E-02
     223   4.100884917008E+00   1.178458428153E-02
     224   2.905609966115E+00   8.530729421652E-03
     225   2.563538650851E+00   7.522829244101E-03
     226   2.841606255053E+00   8.142127893994E-03
     227   3.588677668638E+00   9.968406810191E-03
     228   4.771788281224E+00   1.289514885900E-02
     229   6.285404702298E+00   1.663563710905E-02
     230   7.876423950340E+00   2.054149360196E-02
     231   9.248507910800E+00   2.388213658611E-02
     232   1.008282789205E+01   2.585633182451E-02
     233   1.010718610072E+01   2.573525624524E-02
     234   9.252634408920E+00   2.328928260070E-02
     235   7.672716252733E+00   1.888450752334E-02
     236   5.625334645405E+00   1.320460711099E-02
     237   3.503684861965E+00   7.339981430884E-03
     238   1.969886886253E+00   3.116096148128E-03
     239   1.796005538433E+00   2.617234902550E-03
     240   3.381483912041E+00   6.895209343590E-03
     241   6.324797872804E+00   1.487560985276E-02
     242   9.513206492621E+00   2.362052686477E-02
     243   1.164715091409E+01   2.967866918485E-02
     244   1.186724186623E+01   3.072617190346E-02
     245   1.011175909363E+01   2.654655284620E-02
     246   6.904724126216E+00   1.848672699809E-02
     247   2.915307632744E+00   8.288150284743E-03
     248  -1.137596142092E+00  -2.163365432567E-03
     249  -4.498804525689E+00  -1.087293695713E-02
     250  -6.655625458982E+00  -1.650142581494E-02
     251  -7.632053021287E+00  -1.916237462783E-02
     252  -7.912672215382E+00  -2.017513459170E-02
     253  -8.034705015857E+00  -2.091682136388E-02
     254  -8.122502554673E+00  -2.158394903657E-02
     255  -7.840858120574E+00  -2.116421917193E-02
     256  -6.887876842769E+00  -1.884881014096E-02
     257  -5.587903141623E+00  -1.561784235447E-02
     258  -4.893363582649E+00  -1.416397897911E-02
     259  -5.647202311359E+00  -1.682033857128E-02
     260  -7.855145458364E+00  -2.355247333835E-02
     261  -1.065291785998E+01  -3.188620057509E-02
     262  -1.287964059101E+01  -3.852631742436E-02
     263  -1.369182171342E+01  -4.108654571095E-02
     264  -1.285257377793E+01  -3.888471899883E-02
     265  -1.075184744426E+01  -3.297130358350E-02
     266  -8.183189568717E+00  -2.550944908764E-02
     267  -5.903526505013E+00  -1.858119255685E-02
     268  -4.417612223523E+00  -1.361672960545E-02
     269  -4.010606818348E+00  -1.149670016465E-02
     270  -4.766551790226E+00  -1.259362564645E-02
     271  -6.417420790413E+00  -1.634093115918E-02
     272  -8.329701665510E+00  -2.118173333763E-02
     273  -9.768287599244E+00  -2.524006343791E-02
     274  -1.011456144718E+01  -2.680995161571E-02
     275  -9.142127635783E+00  -2.504300591181E-02
     276  -7.349510309169E+00  -2.095039300309E-02
     277  -5.868501444842E+00  -1.735404353489E-02
     278  -5.733902435050E+00  -1.704788364910E-02
     279  -7.139829403992E+00  -2.074585154775E-02
     280  -9.311915133489E+00  -2.655111023218E-02
     281  -1.101898917727E+01  -3.117394382469E-02
     282  -1.130298431308E+01  -3.190344475094E-02
     283  -9.893852978394E+00  -2.786341010591E-02
     284  -7.209634892430E+00  -2.013942541119E-02
     285  -4.082242080601E+00  -1.107868607115E-02
     286  -1.322291014765E+00  -3.060522288428E-03
     287   6.979814948815E-01   2.740344978221E-03
     288   2.071662086416E+00   6.511754011001E-03
     289   2.972772929442E+00   8.773689825103E-03
     290   3.371435881528E+00   9.541178378381E-03
     291   3.070586938663E+00   8.362032051388E-03
     292   2.010411292798E+00   5.128335622905E-03
     293   5.099683042367E-01   7.586248695720E-04
     294  -9.223738368235E-01  -3.276549107756E-03
     295  -1.996375709883E+00  -6.062136478524E-03
     296  -2.671077832194E+00  -7.402705310247E-03
     297  -2.851377115804E+00  -7.097361295023E-03
     298  -2.297309742074E+00  -4.711259548581E-03
     299  -9.104532143521E-01  -2.706417789901E-04
