# lag   <C(lag)>_blocks   <C_norm(lag)>_blocks
       0   9.237546574907E-04   1.000000000000E+00
       1   8.991669756953E-04   9.692189315211E-01
       2   8.757797183217E-04   9.398289330953E-01
       3   8.534926755231E-04   9.113186214303E-01
       4   8.318041872836E-04   8.840885176971E-01
       5   8.104335904365E-04   8.575683677588E-01
       6   7.889670273635E-04   8.307092745146E-01
       7   7.685340869656E-04   8.047910086235E-01
       8   7.491566103533E-04   7.802735552775E-01
       9   7.313723760091E-04   7.581817200235E-01
      10   7.136572962604E-04   7.364671718231E-01
      11   6.954938816175E-04   7.140199916804E-01
      12   6.790176997957E-04   6.935662794500E-01
      13   6.633901043182E-04   6.741021159190E-01
      14   6.476733831212E-04   6.547604257276E-01
      15   6.333818023517E-04   6.372744128092E-01
      16   6.202487533405E-04   6.213193364474E-01
      17   6.079428774524E-04   6.063221796283E-01
      18   5.976689495422E-04   5.945195057377E-01
      19   5.868985998642E-04   5.819383787867E-01
      20   5.765524075096E-04   5.701521834738E-01
      21   5.667562845771E-04   5.588591668071E-01
      22   5.569201702112E-04   5.477525640202E-01
      23   5.481197571201E-04   5.377132798900E-01
      24   5.400883134106E-04   5.280562955465E-01
      25   5.328119536920E-04   5.194073750832E-01
      26   5.256442779026E-04   5.108895298001E-01
      27   5.183301808573E-04   5.026367526082E-01
      28   5.110380942121E-04   4.941279554617E-01
      29   5.033310885980E-04   4.855843224344E-01
      30   4.955901982656E-04   4.773148217340E-01
      31   4.881190688312E-04   4.692759259203E-01
      32   4.813019422507E-04   4.615446837997E-01
      33   4.758438272256E-04   4.549022320406E-01
      34   4.694040075032E-04   4.478272779581E-01
      35   4.622647448141E-04   4.396933719242E-01
      36   4.559648132111E-04   4.330685733245E-01
      37   4.493373124796E-04   4.253131887503E-01
      38   4.427778296226E-04   4.175325621231E-01
      39   4.357360623329E-04   4.092670721711E-01
      40   4.283619224039E-04   4.010296375339E-01
      41   4.217151473204E-04   3.933674823677E-01
      42   4.157832031405E-04   3.865998421606E-01
      43   4.105171639907E-04   3.807328178891E-01
      44   4.062178960448E-04   3.761548032123E-01
      45   4.024886799889E-04   3.724220382271E-01
      46   3.986277215150E-04   3.681218256928E-01
      47   3.958615185185E-04   3.655475025454E-01
      48   3.932514960044E-04   3.638203592305E-01
      49   3.899014463149E-04   3.611735404417E-01
      50   3.884657779465E-04   3.618209806252E-01
      51   3.862007712394E-04   3.610711038107E-01
      52   3.836681059187E-04   3.601373582682E-01
      53   3.802762430127E-04   3.579229816350E-01
      54   3.766153377185E-04   3.552338633018E-01
      55   3.728705058196E-04   3.526718681561E-01
      56   3.671101350273E-04   3.477358663241E-01
      57   3.607993479392E-04   3.417555504371E-01
      58   3.550695838281E-04   3.363463148822E-01
      59   3.496485410825E-04   3.311049983337E-01
      60   3.444380402826E-04   3.263894211590E-01
      61   3.399494474992E-04   3.226459567067E-01
      62   3.348532323756E-04   3.179221750029E-01
      63   3.294714866710E-04   3.130764543843E-01
      64   3.235368525041E-04   3.076315204947E-01
      65   3.186453927979E-04   3.037113392115E-01
      66   3.130363558022E-04   2.994359161231E-01
      67   3.071247702305E-04   2.943249223749E-01
      68   3.031707477798E-04   2.915048802034E-01
      69   2.988089015229E-04   2.882904272424E-01
      70   2.950456916999E-04   2.855450190753E-01
      71   2.901882922623E-04   2.817021463970E-01
      72   2.851579744447E-04   2.778786594489E-01
      73   2.804716684747E-04   2.747318497251E-01
      74   2.770892058855E-04   2.729903951619E-01
      75   2.742292685388E-04   2.715915139154E-01
      76   2.710040869391E-04   2.694895422133E-01
      77   2.680086621708E-04   2.670429734777E-01
      78   2.650539694622E-04   2.647534527838E-01
      79   2.613234839829E-04   2.613075593588E-01
      80   2.571303546411E-04   2.575234220963E-01
      81   2.535677378416E-04   2.545930002726E-01
      82   2.498260442810E-04   2.514869235412E-01
      83   2.453997160472E-04   2.472941675721E-01
      84   2.404622987762E-04   2.425919520012E-01
      85   2.356660810144E-04   2.377195436091E-01
      86   2.318362220032E-04   2.338569013998E-01
      87   2.287774892561E-04   2.307131756776E-01
      88   2.266199728125E-04   2.287909026942E-01
      89   2.231483683280E-04   2.248678810124E-01
      90   2.192004065249E-04   2.200521151884E-01
      91   2.153652455041E-04   2.152061879378E-01
      92   2.117462691231E-04   2.110689880334E-01
      93   2.087011297572E-04   2.075178341940E-01
      94   2.056667425054E-04   2.045245267366E-01
      95   2.021625393699E-04   2.009561296276E-01
      96   1.990559882624E-04   1.975755027802E-01
      97   1.947866885030E-04   1.927668671246E-01
      98   1.904713403849E-04   1.877766777800E-01
      99   1.871209949630E-04   1.839623923154E-01
     100   1.848443560744E-04   1.818074954130E-01
     101   1.825395181315E-04   1.800251264908E-01
     102   1.803891802664E-04   1.789770873855E-01
     103   1.794389942840E-04   1.788557154536E-01
     104   1.780765429197E-04   1.782758161837E-01
     105   1.769634831133E-04   1.785493725908E-01
     106   1.765336030761E-04   1.797028076716E-01
     107   1.759570017149E-04   1.803737856780E-01
