# lag   <C(lag)>_blocks   <C_norm(lag)>_blocks
       0   1.264067126108E-02   1.000000000000E+00
       1   1.210835307830E-02   9.576911631572E-01
       2   1.071071689470E-02   8.465207565079E-01
       3   8.885656325617E-03   7.014073888004E-01
       4   7.060724670023E-03   5.564450279173E-01
       5   5.498487367212E-03   4.325310897523E-01
       6   4.284802693140E-03   3.364136277873E-01
       7   3.389457249918E-03   2.655678428020E-01
       8   2.735714907698E-03   2.138048396065E-01
       9   2.247637169920E-03   1.750800958437E-01
      10   1.871731429934E-03   1.452080978953E-01
      11   1.578873909094E-03   1.219684018700E-01
      12   1.354579123756E-03   1.042688947750E-01
      13   1.187281359966E-03   9.117680813391E-02
      14   1.063169106960E-03   8.152491071033E-02
      15   9.672473685855E-04   7.403946708778E-02
      16   8.860538105493E-04   6.759489924512E-02
      17   8.104707434986E-04   6.145744855540E-02
      18   7.341711839752E-04   5.517570198311E-02
      19   6.519031834851E-04   4.842783948538E-02
      20   5.607236202381E-04   4.107243955410E-02
      21   4.587988695351E-04   3.301974438370E-02
      22   3.436378291433E-04   2.407538346273E-02
      23   2.133672504343E-04   1.404982283961E-02
      24   7.095326294069E-05   3.120833247436E-03
      25  -7.203517996386E-05  -7.842209806823E-03
      26  -1.969060721708E-04  -1.738192600303E-02
      27  -2.865136148221E-04  -2.413244598935E-02
      28  -3.346552799032E-04  -2.756348428785E-02
      29  -3.464096939174E-04  -2.803647627481E-02
      30  -3.304651077994E-04  -2.624548006952E-02
      31  -2.922523022213E-04  -2.269454345001E-02
      32  -2.331770847995E-04  -1.761550851253E-02
      33  -1.562803676527E-04  -1.135119874332E-02
      34  -6.859810343838E-05  -4.485244915397E-03
      35   2.278675285705E-05   2.484994514096E-03
      36   1.155497804764E-04   9.508238855917E-03
      37   2.130992239880E-04   1.700793362357E-02
      38   3.187903387132E-04   2.536645370788E-02
      39   4.303071478525E-04   3.441531955715E-02
      40   5.393315417213E-04   4.338574692368E-02
      41   6.358649861434E-04   5.130739753481E-02
      42   7.129016734666E-04   5.746385519367E-02
      43   7.657848102064E-04   6.141208225216E-02
      44   7.912458552729E-04   6.293601943710E-02
      45   7.892856183041E-04   6.216893365454E-02
      46   7.646585350021E-04   5.963400048691E-02
      47   7.255585074907E-04   5.606300834034E-02
      48   6.813602982380E-04   5.219644729825E-02
      49   6.406850427135E-04   4.867735899265E-02
      50   6.101007851698E-04   4.601647382544E-02
      51   5.917304089240E-04   4.443631537695E-02
      52   5.808058010641E-04   4.365036684692E-02
      53   5.674201559977E-04   4.292576702197E-02
      54   5.402809076601E-04   4.132336883494E-02
      55   4.894702001649E-04   3.793573684009E-02
      56   4.098368165183E-04   3.221660326543E-02
      57   3.050715715815E-04   2.434919562780E-02
      58   1.904605250117E-04   1.547606558743E-02
      59   8.875793859135E-05   7.373460373165E-03
      60   1.811192855690E-05   1.515244015633E-03
      61  -1.853112218613E-05  -1.745164872646E-03
      62  -3.477376570070E-05  -3.310495007558E-03
      63  -5.379568104155E-05  -4.880047473648E-03
      64  -9.843451379518E-05  -8.240543845524E-03
      65  -1.820247948504E-04  -1.452421787145E-02
      66  -3.014887672776E-04  -2.359707144075E-02
      67  -4.376371788602E-04  -3.402671064538E-02
      68  -5.626631753024E-04  -4.365936018324E-02
      69  -6.544560920585E-04  -5.077378625178E-02
      70  -7.126923153110E-04  -5.536058328549E-02
      71  -7.584628067814E-04  -5.908920014124E-02
      72  -8.183702399176E-04  -6.403689984062E-02
      73  -9.060190787396E-04  -7.121197251994E-02
      74  -1.010573974730E-03  -7.966124652256E-02
      75  -1.099613850756E-03  -8.673812235762E-02
      76  -1.139358460878E-03  -8.973816160182E-02
      77  -1.114598039554E-03  -8.749278825945E-02
      78  -1.035336018341E-03  -8.086875723840E-02
      79  -9.309569281355E-04  -7.224283667021E-02
      80  -8.371693975685E-04  -6.442145492298E-02
      81  -7.813691516872E-04  -5.949956988399E-02
      82  -7.726842460506E-04  -5.814875537203E-02
      83  -8.036008950476E-04  -5.980678936893E-02
      84  -8.585428463762E-04  -6.335260995937E-02
      85  -9.207013356434E-04  -6.758623649590E-02
      86  -9.766714189143E-04  -7.152636438484E-02
      87  -1.018077134257E-03  -7.451844190395E-02
      88  -1.038750708803E-03  -7.603930354312E-02
      89  -1.032024696713E-03  -7.551227816035E-02
      90  -9.927231214318E-04  -7.248098386678E-02
      91  -9.206489467112E-04  -6.690711491427E-02
      92  -8.250609188090E-04  -5.953188464874E-02
      93  -7.276353342095E-04  -5.208251547768E-02
      94  -6.555297176866E-04  -4.669040135906E-02
      95  -6.270068834497E-04  -4.475351364683E-02
      96  -6.425756427703E-04  -4.625752947590E-02
      97  -6.850057503122E-04  -4.980070562814E-02
      98  -7.242881770168E-04  -5.302291678776E-02
      99  -7.323300699102E-04  -5.377740357229E-02
     100  -6.988254253212E-04  -5.134371110523E-02
     101  -6.284219264163E-04  -4.616485387255E-02
     102  -5.292438291790E-04  -3.890813703856E-02
     103  -4.052955713732E-04  -2.986088277857E-02
     104  -2.561726142474E-04  -1.892506175595E-02
     105  -8.091163391572E-05  -5.942311652503E-03
     106   1.195517879910E-04   9.085854059292E-03
     107   3.406681950569E-04   2.584440143768E-02
     108   5.702703750067E-04   4.339549682927E-02
     109   7.859759123590E-04   5.998827227100E-02
     110   9.611618297822E-04   7.353139341087E-02
