# lag   <C(lag)>_blocks   <C_norm(lag)>_blocks
       0   6.546808744109E-04   1.000000000000E+00
       1   6.122953788495E-04   9.351385522200E-01
       2   5.041807276901E-04   7.697193631210E-01
       3   3.725771055067E-04   5.683979368168E-01
       4   2.554313552479E-04   3.892806424209E-01
       5   1.717582073309E-04   2.615081304132E-01
       6   1.228353653567E-04   1.870467202746E-01
       7   1.001678072860E-04   1.528509789558E-01
       8   9.311426512064E-05   1.425499960544E-01
       9   9.333005852783E-05   1.432878221344E-01
      10   9.600618447260E-05   1.476569311255E-01
      11   9.931554916896E-05   1.528583824821E-01
      12   1.030171099177E-04   1.585362725890E-01
      13   1.070504024139E-04   1.646030128631E-01
      14   1.109818689134E-04   1.704154263818E-01
      15   1.142766342237E-04   1.752185471267E-01
      16   1.165049015875E-04   1.784263358831E-01
      17   1.173090307361E-04   1.795092760887E-01
      18   1.164420839758E-04   1.780242631948E-01
      19   1.138919847748E-04   1.738524435076E-01
      20   1.099513505204E-04   1.673882554249E-01
      21   1.049622933482E-04   1.591841608088E-01
      22   9.899448343337E-05   1.494403189921E-01
      23   9.194207585805E-05   1.381099701014E-01
      24   8.397548146451E-05   1.255492804873E-01
      25   7.591642194146E-05   1.130605747013E-01
      26   6.911071966514E-05   1.026977588138E-01
      27   6.462615617614E-05   9.607135164842E-02
      28   6.251607509238E-05   9.323325039889E-02
      29   6.189559296975E-05   9.276221454368E-02
      30   6.172227202407E-05   9.294568603893E-02
      31   6.157407862282E-05   9.301441106263E-02
      32   6.152740488497E-05   9.301642801295E-02
      33   6.147894502982E-05   9.280938680588E-02
      34   6.101336342875E-05   9.184863236253E-02
      35   5.982623844648E-05   8.980219663211E-02
      36   5.812929901800E-05   8.713403316680E-02
      37   5.662320079181E-05   8.502171009716E-02
      38   5.598232283197E-05   8.451398090764E-02
      39   5.635749301797E-05   8.572246318466E-02
      40   5.734189989237E-05   8.779928653703E-02
      41   5.833914323844E-05   8.961819447018E-02
      42   5.881836699687E-05   9.026925907450E-02
      43   5.833072244686E-05   8.911488605337E-02
      44   5.653601270135E-05   8.578714799991E-02
      45   5.335006773456E-05   8.031923657495E-02
      46   4.907774424624E-05   7.327516620039E-02
      47   4.434686253052E-05   6.564751477173E-02
      48   3.986226873490E-05   5.853108109137E-02
      49   3.630880087439E-05   5.300236920672E-02
      50   3.436849777112E-05   5.011977906425E-02
      51   3.441457784025E-05   5.042342759003E-02
      52   3.605668962432E-05   5.324275628900E-02
      53   3.825368810262E-05   5.689005161165E-02
      54   3.982852988030E-05   5.947910970727E-02
      55   3.971754395828E-05   5.936091177212E-02
      56   3.717213134969E-05   5.545985720964E-02
      57   3.226370693790E-05   4.799878936434E-02
      58   2.638225759773E-05   3.916753709361E-02
      59   2.191061596149E-05   3.256760043887E-02
      60   2.081687806469E-05   3.111205170361E-02
      61   2.331817483233E-05   3.511058381282E-02
      62   2.781972587538E-05   4.222296805383E-02
      63   3.184389908095E-05   4.876282505497E-02
      64   3.312086750592E-05   5.123099450521E-02
      65   3.048199720218E-05   4.770147386307E-02
      66   2.443592731933E-05   3.882185232537E-02
      67   1.714276467044E-05   2.784788521992E-02
      68   1.144528202087E-05   1.915300120481E-02
      69   9.237072062858E-06   1.566981843260E-02
      70   1.025290732502E-05   1.699519800062E-02
      71   1.214902380037E-05   1.953956887378E-02
      72   1.194909525938E-05   1.879256224783E-02
      73   8.008321681911E-06   1.233110698377E-02
      74   1.188434443948E-06   1.587830844423E-03
      75  -5.552455795681E-06  -8.804945884454E-03
      76  -8.856505799270E-06  -1.364815897889E-02
      77  -6.945740345256E-06  -1.024239608427E-02
      78  -4.551122049801E-07   3.289481926436E-04
      79   8.046172478046E-06   1.397895115592E-02
      80   1.524239717148E-05   2.551503141081E-02
      81   1.862900519431E-05   3.106941558854E-02
      82   1.754221326780E-05   2.963501374887E-02
      83   1.293485723016E-05   2.266656707074E-02
      84   6.356910628396E-06   1.253747550421E-02
      85  -8.678725691896E-07   1.317991810957E-03
      86  -7.864995432218E-06  -9.577866954434E-03
      87  -1.407422336868E-05  -1.920488914173E-02
      88  -1.894220157692E-05  -2.662267563508E-02
      89  -2.171068582040E-05  -3.060176382548E-02
      90  -2.156450722297E-05  -2.992426203138E-02
      91  -1.817396461043E-05  -2.424655050238E-02
      92  -1.234275258051E-05  -1.501625048893E-02
      93  -6.055282677999E-06  -5.421477019737E-03
      94  -1.656765264221E-06   9.477427282886E-04
      95  -8.644094147137E-07   1.612415184433E-03
      96  -4.038060717329E-06  -3.764482378047E-03
      97  -9.814305249452E-06  -1.292598987337E-02
      98  -1.567091145531E-05  -2.194862620687E-02
      99  -1.946533208361E-05  -2.760236388591E-02
     100  -2.067012683290E-05  -2.919565135449E-02
     101  -2.014562504170E-05  -2.815231255448E-02
     102  -1.887001723132E-05  -2.602447903090E-02
     103  -1.705959169532E-05  -2.315606698914E-02
     104  -1.432196951768E-05  -1.893583735540E-02
     105  -1.012978266692E-05  -1.253418960291E-02
     106  -4.000506924129E-06  -3.194061838891E-03
     107   4.333264501627E-06   9.498921149664E-03
     108   1.441824630309E-05   2.485105293760E-02
     109   2.469503020629E-05   4.046708665558E-02
     110   3.305157289583E-05   5.309568535402E-02
     111   3.797855235046E-05   6.041362377279E-02
     112   3.915177945135E-05   6.192969301850E-02
     113   3.730102148527E-05   5.880524833738E-02
     114   3.373706433714E-05   5.314030821950E-02
     115   2.957431664742E-05   4.673748348868E-02
     116   2.526115829264E-05   4.031079485728E-02
     117   2.092155481962E-05   3.398391291594E-02
     118   1.664833965195E-05   2.776809578449E-02
     119   1.228892102354E-05   2.129247299252E-02
     120   7.513107164265E-06   1.397961427484E-02
     121   2.372700752302E-06   5.952587232052E-03
     122  -2.494934174975E-06  -1.673730773502E-03
     123  -6.195735105918E-06  -7.396151637617E-03
     124  -7.956332013793E-06  -1.000261047754E-02
     125  -7.477408173771E-06  -9.110128298678E-03
     126  -5.164278707254E-06  -5.426997703462E-03
     127  -1.888195836259E-06  -3.091673465153E-04
     128   1.498903290394E-06   4.975093255737E-03
     129   4.316090581635E-06   9.418307118738E-03
