# time   epot   ekin   etot   T   P
 5.100000E-01  -1.666150E+03   1.111324E+03  -5.548254E+02   1.481766E+00   2.079717E-01
 5.200000E-01  -1.657066E+03   1.102246E+03  -5.548196E+02   1.469662E+00   2.485245E-01
 5.300000E-01  -1.646977E+03   1.092164E+03  -5.548123E+02   1.456219E+00   2.942275E-01
 5.400000E-01  -1.639908E+03   1.085088E+03  -5.548204E+02   1.446784E+00   3.282471E-01
 5.500000E-01  -1.635993E+03   1.081173E+03  -5.548204E+02   1.441563E+00   3.490397E-01
 5.600000E-01  -1.633861E+03   1.079038E+03  -5.548224E+02   1.438718E+00   3.614665E-01
 5.700000E-01  -1.635937E+03   1.081120E+03  -5.548175E+02   1.441493E+00   3.569214E-01
 5.800000E-01  -1.642033E+03   1.087213E+03  -5.548193E+02   1.449618E+00   3.366791E-01
 5.900000E-01  -1.647334E+03   1.092510E+03  -5.548236E+02   1.456681E+00   3.192589E-01
 6.000000E-01  -1.646949E+03   1.092127E+03  -5.548222E+02   1.456169E+00   3.228737E-01
 6.100000E-01  -1.642165E+03   1.087340E+03  -5.548244E+02   1.449787E+00   3.415338E-01
 6.200000E-01  -1.640505E+03   1.085678E+03  -5.548270E+02   1.447571E+00   3.454354E-01
 6.300000E-01  -1.646254E+03   1.091426E+03  -5.548285E+02   1.455234E+00   3.175956E-01
 6.400000E-01  -1.656931E+03   1.102114E+03  -5.548164E+02   1.469486E+00   2.681896E-01
 6.500000E-01  -1.666684E+03   1.111860E+03  -5.548242E+02   1.482480E+00   2.217049E-01
 6.600000E-01  -1.669703E+03   1.114887E+03  -5.548161E+02   1.486516E+00   2.022659E-01
 6.700000E-01  -1.664486E+03   1.109682E+03  -5.548034E+02   1.479577E+00   2.162043E-01
 6.800000E-01  -1.656463E+03   1.101659E+03  -5.548036E+02   1.468879E+00   2.420904E-01
 6.900000E-01  -1.652661E+03   1.097858E+03  -5.548022E+02   1.463811E+00   2.519044E-01
 7.000000E-01  -1.654600E+03   1.099804E+03  -5.547961E+02   1.466406E+00   2.391449E-01
 7.100000E-01  -1.658588E+03   1.103792E+03  -5.547967E+02   1.471722E+00   2.182260E-01
 7.200000E-01  -1.661650E+03   1.106853E+03  -5.547973E+02   1.475803E+00   2.015696E-01
 7.300000E-01  -1.664795E+03   1.110011E+03  -5.547846E+02   1.480015E+00   1.867388E-01
 7.400000E-01  -1.669115E+03   1.114334E+03  -5.547811E+02   1.485779E+00   1.709851E-01
 7.500000E-01  -1.671846E+03   1.117061E+03  -5.547855E+02   1.489414E+00   1.658823E-01
 7.600000E-01  -1.668921E+03   1.114140E+03  -5.547812E+02   1.485520E+00   1.874206E-01
 7.700000E-01  -1.658844E+03   1.104056E+03  -5.547875E+02   1.472075E+00   2.406846E-01
 7.800000E-01  -1.644775E+03   1.089982E+03  -5.547927E+02   1.453309E+00   3.115260E-01
 7.900000E-01  -1.634116E+03   1.079325E+03  -5.547909E+02   1.439100E+00   3.690180E-01
 8.000000E-01  -1.633616E+03   1.078821E+03  -5.547958E+02   1.438427E+00   3.854690E-01
 8.100000E-01  -1.641599E+03   1.086800E+03  -5.547985E+02   1.449067E+00   3.663027E-01
 8.200000E-01  -1.650062E+03   1.095255E+03  -5.548069E+02   1.460340E+00   3.421002E-01
 8.300000E-01  -1.653864E+03   1.099062E+03  -5.548017E+02   1.465416E+00   3.333117E-01
 8.400000E-01  -1.653486E+03   1.098681E+03  -5.548051E+02   1.464908E+00   3.388959E-01
 8.500000E-01  -1.653156E+03   1.098352E+03  -5.548045E+02   1.464469E+00   3.433368E-01
 8.600000E-01  -1.655109E+03   1.100298E+03  -5.548112E+02   1.467064E+00   3.388662E-01
 8.700000E-01  -1.655868E+03   1.101050E+03  -5.548184E+02   1.468066E+00   3.393876E-01
 8.800000E-01  -1.651813E+03   1.096990E+03  -5.548233E+02   1.462653E+00   3.592503E-01
 8.900000E-01  -1.644366E+03   1.089534E+03  -5.548317E+02   1.452712E+00   3.930624E-01
 9.000000E-01  -1.639799E+03   1.084967E+03  -5.548319E+02   1.446623E+00   4.166754E-01
 9.100000E-01  -1.641047E+03   1.086208E+03  -5.548383E+02   1.448278E+00   4.185691E-01
 9.200000E-01  -1.643424E+03   1.088575E+03  -5.548488E+02   1.451434E+00   4.159279E-01
 9.300000E-01  -1.642579E+03   1.087740E+03  -5.548387E+02   1.450320E+00   4.249362E-01
 9.400000E-01  -1.637143E+03   1.082303E+03  -5.548401E+02   1.443071E+00   4.499101E-01
 9.500000E-01  -1.630479E+03   1.075641E+03  -5.548389E+02   1.434187E+00   4.766907E-01
 9.600000E-01  -1.626940E+03   1.072107E+03  -5.548331E+02   1.429476E+00   4.875539E-01
 9.700000E-01  -1.625640E+03   1.070818E+03  -5.548224E+02   1.427757E+00   4.849988E-01
 9.800000E-01  -1.623729E+03   1.068914E+03  -5.548152E+02   1.425219E+00   4.796082E-01
 9.900000E-01  -1.621479E+03   1.066654E+03  -5.548253E+02   1.422205E+00   4.704558E-01
 1.000000E+00  -1.622484E+03   1.067663E+03  -5.548209E+02   1.423551E+00   4.441811E-01
 1.010000E+00  -1.630606E+03   1.075790E+03  -5.548160E+02   1.434387E+00   3.874109E-01
 1.020000E+00  -1.645139E+03   1.090328E+03  -5.548114E+02   1.453770E+00   3.052277E-01
 1.030000E+00  -1.660166E+03   1.105361E+03  -5.548057E+02   1.473814E+00   2.229476E-01
 1.040000E+00  -1.671434E+03   1.116628E+03  -5.548065E+02   1.488837E+00   1.595448E-01
 1.050000E+00  -1.678750E+03   1.123945E+03  -5.548051E+02   1.498593E+00   1.178121E-01
 1.060000E+00  -1.681940E+03   1.127141E+03  -5.547987E+02   1.502854E+00   9.916460E-02
 1.070000E+00  -1.679992E+03   1.125182E+03  -5.548103E+02   1.500242E+00   1.071035E-01
 1.080000E+00  -1.673082E+03   1.118270E+03  -5.548114E+02   1.491027E+00   1.395901E-01
 1.090000E+00  -1.664248E+03   1.109426E+03  -5.548218E+02   1.479234E+00   1.832108E-01
 1.100000E+00  -1.656544E+03   1.101730E+03  -5.548137E+02   1.468973E+00   2.241956E-01
 1.110000E+00  -1.650062E+03   1.095249E+03  -5.548132E+02   1.460332E+00   2.600206E-01
 1.120000E+00  -1.645346E+03   1.090537E+03  -5.548097E+02   1.454049E+00   2.867913E-01
 1.130000E+00  -1.645305E+03   1.090496E+03  -5.548091E+02   1.453994E+00   2.925167E-01
 1.140000E+00  -1.650578E+03   1.095765E+03  -5.548137E+02   1.461019E+00   2.746634E-01
 1.150000E+00  -1.657715E+03   1.102901E+03  -5.548138E+02   1.470534E+00   2.471455E-01
 1.160000E+00  -1.661348E+03   1.106529E+03  -5.548184E+02   1.475372E+00   2.314223E-01
 1.170000E+00  -1.660703E+03   1.105886E+03  -5.548178E+02   1.474514E+00   2.312655E-01
 1.180000E+00  -1.662276E+03   1.107448E+03  -5.548279E+02   1.476597E+00   2.231749E-01
 1.190000E+00  -1.666819E+03   1.111989E+03  -5.548291E+02   1.482653E+00   2.045858E-01
 1.200000E+00  -1.671106E+03   1.116266E+03  -5.548401E+02   1.488355E+00   1.882575E-01
 1.210000E+00  -1.673163E+03   1.118335E+03  -5.548285E+02   1.491113E+00   1.825814E-01
 1.220000E+00  -1.671617E+03   1.116778E+03  -5.548386E+02   1.489038E+00   1.937382E-01
 1.230000E+00  -1.665287E+03   1.110443E+03  -5.548444E+02   1.480591E+00   2.267273E-01
 1.240000E+00  -1.653208E+03   1.098375E+03  -5.548326E+02   1.464500E+00   2.847701E-01
 1.250000E+00  -1.637438E+03   1.082613E+03  -5.548250E+02   1.443484E+00   3.584533E-01
 1.260000E+00  -1.623421E+03   1.068589E+03  -5.548328E+02   1.424785E+00   4.245788E-01
 1.270000E+00  -1.617401E+03   1.062564E+03  -5.548365E+02   1.416752E+00   4.569140E-01
 1.280000E+00  -1.622823E+03   1.067984E+03  -5.548395E+02   1.423979E+00   4.413283E-01
 1.290000E+00  -1.634738E+03   1.079902E+03  -5.548363E+02   1.439869E+00   3.967355E-01
 1.300000E+00  -1.648564E+03   1.093726E+03  -5.548375E+02   1.458302E+00   3.426468E-01
 1.310000E+00  -1.662196E+03   1.107366E+03  -5.548300E+02   1.476488E+00   2.903339E-01
 1.320000E+00  -1.671893E+03   1.117055E+03  -5.548381E+02   1.489406E+00   2.571115E-01
 1.330000E+00  -1.674320E+03   1.119492E+03  -5.548280E+02   1.492656E+00   2.577522E-01
 1.340000E+00  -1.669065E+03   1.114245E+03  -5.548199E+02   1.485659E+00   2.945223E-01
 1.350000E+00  -1.656859E+03   1.102037E+03  -5.548228E+02   1.469382E+00   3.629720E-01
 1.360000E+00  -1.642811E+03   1.087993E+03  -5.548178E+02   1.450657E+00   4.405645E-01
 1.370000E+00  -1.636038E+03   1.081217E+03  -5.548212E+02   1.441623E+00   4.899764E-01
 1.380000E+00  -1.638316E+03   1.083485E+03  -5.548306E+02   1.444647E+00   5.028650E-01
 1.390000E+00  -1.640322E+03   1.085499E+03  -5.548231E+02   1.447332E+00   5.133104E-01
 1.400000E+00  -1.642181E+03   1.087354E+03  -5.548268E+02   1.449806E+00   5.217153E-01
 1.410000E+00  -1.644952E+03   1.090140E+03  -5.548118E+02   1.453520E+00   5.245135E-01
 1.420000E+00  -1.644600E+03   1.089796E+03  -5.548043E+02   1.453061E+00   5.364296E-01
 1.430000E+00  -1.642992E+03   1.088186E+03  -5.548060E+02   1.450915E+00   5.503724E-01
